#ID lat lon 1 2 5.5 6 9 11 12 18 24 36 48 54
1 43.072073 -89.406462 0.057 0.052 0.069 0.052 0.052 0.977 0.046 0.057 0.172 1 1 1
2 43.072079 -89.406462 0 0 0.009 0 0 0.967 0 0.009 0.042 1 1 1
3 43.072072 -89.406462 0.001 0.001 0.096 0.004 0.004 0.95 0.004 0.005 0.076 1 1 1
4 43.072072 -89.406462 0.005 0 0.374 0 0 1 0.005 0 0.045 1 1 1
5 43.072072 -89.406462 0 0 0.464 0.005 0 1 0 0 0.047 1 1 1
6 43.072065 -89.406462 0 0 0.566 0.01 0 1 0 0 0.04 1 1 1
7 43.072072 -89.406462 0 0 0.278 0.002 0 1 0 0.004 0.043 1 1 1
8 43.072065 -89.406462 0 0 0.385 0.001 0.007 1 0.001 0.003 0.036 0.997 1 1
9 43.072071 -89.406462 0 0 0.467 0 0 1 0 0 0.027 1 1 1
10 43.072065 -89.406462 0 0 0.428 0.002 0 0.998 0 0.002 0.036 1 1 1
11 43.072065 -89.406462 0 0 0.363 0.007 0 0.852 0.007 0.007 0.104 1 1 1
12 43.072065 -89.406462 0.01 0 0.201 0.005 0 0.523 0 0.005 0.201 0.995 1 1
13 43.072071 -89.406462 0 0 0 0 0 0.227 0.013 0 0.08 0.76 1 1
14 43.072077 -89.406462 0.007 0 0.54 0.007 0.015 0.869 0.007 0.015 0.058 0.847 1 1
15 43.072096 -89.406461 0 0.01 0.717 0.005 0.025 0.96 0.04 0.338 0.561 1 1 1
16 43.072109 -89.406461 0.027 0 0.107 0.013 0.013 0.88 0.027 0.267 0.6 1 1 1
17 43.072128 -89.406461 0.022 0.029 0.699 0 0.029 1 0 0.618 0.956 1 1 1
18 43.072154 -89.406461 0.146 0.352 0.94 0.055 0.181 1 0.131 0.879 1 1 1 1
19 43.072179 -89.406436 0 0 0.474 0.013 0.132 0.974 0.039 0.474 0.816 1 1 1
20 43.072198 -89.406399 0.022 0.029 0.248 0.007 0.029 0.847 0.022 0.131 0.423 1 1 1
21 43.072211 -89.406362 0 0 0.157 0.01 0.015 0.817 0.025 0.066 0.33 0.975 1 1
22 43.072210 -89.406313 0 0 0.227 0.04 0.013 0.8 0.04 0.08 0.387 0.987 1 1
